10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,1
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,3,0
10,3,0
10,4,0
10,5,0
10,4,0
10,3,1
10,5,1
10,3,0
10,3,0
10,4,0
10,4,0
10,5,0
10,4,0
10,5,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,3,0
10,3,0
10,4,0
10,5,0
10,4,0
10,4,1
10,3,0
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,5,0
10,5,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,1
10,5,1
10,3,0
10,4,0
10,4,1
10,5,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,4,0
10,5,0
10,3,0
10,5,0
10,5,0
10,5,1
10,5,0
10,5,0
10,4,0
10,4,1
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,5,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,5,0
10,4,0
10,3,0
10,3,1
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,5,0
10,5,0
10,4,0
10,4,1
10,4,0
10,5,0
10,3,0
10,5,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,1
10,3,0
10,5,1
10,4,0
10,3,0
10,4,0
10,5,0
10,4,0
10,3,0
10,4,1
10,4,1
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,5,0
10,4,0
10,3,0
10,4,0
10,3,0
10,3,0
10,3,0
10,4,0
10,3,0
10,3,0
10,6,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,5,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,3,1
10,3,0
10,4,0
10,4,0
10,3,0
10,3,1
10,5,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,5,0
10,5,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,1
10,3,0
10,4,0
10,4,1
10,4,0
10,5,0
10,5,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,5,0
10,3,0
10,5,0
10,3,0
10,4,0
10,3,0
10,3,0
10,5,0
10,4,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,1
10,4,0
10,3,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,1
10,5,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,5,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,3,1
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,5,0
10,4,0
10,4,0
10,5,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,4,0
10,5,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,5,0
10,3,1
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,5,0
10,3,0
10,3,0
10,3,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,5,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,5,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,5,0
10,4,0
10,4,0
10,3,0
10,3,0
10,5,0
10,3,0
10,3,0
10,4,0
10,3,2
10,4,0
10,3,0
10,6,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,5,0
10,3,1
10,4,0
10,4,0
10,4,0
10,5,1
10,5,0
10,5,0
10,4,0
10,3,0
10,5,0
10,3,0
10,5,0
10,4,0
10,4,0
10,5,0
10,3,0
10,3,0
10,4,0
10,5,0
10,4,0
10,3,0
10,4,1
10,3,0
10,3,0
10,5,0
10,4,0
10,3,1
10,4,0
10,4,0
10,3,0
10,5,0
10,4,0
10,3,0
10,3,1
10,4,0
10,4,0
10,4,0
10,5,0
10,3,0
10,3,1
10,5,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,5,0
10,4,0
10,4,0
10,5,0
10,3,0
10,5,0
10,4,0
10,4,0
10,5,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,3,0
10,3,0
10,4,1
10,3,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,3,0
10,3,0
10,4,0
10,3,0
10,4,0
10,3,0
10,3,0
10,3,0
10,3,0
10,4,1
10,4,0
10,4,0
10,4,1
10,4,0
10,3,1
10,4,0
10,5,1
10,4,0
10,4,0
10,3,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,2,0
10,3,0
10,4,1
10,5,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,5,1
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,5,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,1
10,4,0
10,4,0
10,5,0
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,1
10,4,0
10,4,0
10,4,1
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,1
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,1
10,3,0
10,4,0
10,4,0
10,3,0
10,3,0
10,3,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,1
10,4,0
10,4,0
10,4,0
10,5,1
10,3,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,5,0
10,4,0
10,4,0
10,3,0
10,4,0
10,5,0
10,3,0
10,4,1
10,4,0
10,3,0
10,3,0
10,3,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,5,0
10,3,0
10,4,0
10,5,0
10,4,0
10,4,0
10,5,0
10,3,0
10,5,0
10,4,0
10,3,0
10,3,0
10,4,1
10,5,1
10,4,0
10,3,0
10,4,0
10,3,0
10,3,0
10,4,0
10,3,0
10,4,0
10,5,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,5,0
10,3,0
10,3,0
10,4,0
10,5,0
10,3,0
10,4,0
10,3,0
10,3,0
10,4,0
10,5,0
10,4,1
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,5,0
10,3,0
10,5,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,3,0
10,3,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,4,0
10,5,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,1
10,3,0
10,3,0
10,5,0
10,4,1
10,4,0
10,3,0
10,5,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,5,1
10,4,0
10,4,0
10,5,0
10,4,0
10,4,0
10,4,0
10,5,0
10,5,1
10,3,0
10,4,0
10,4,0
10,3,0
10,3,0
10,5,0
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,5,0
10,4,0
10,4,0
10,4,1
10,4,0
10,3,0
10,5,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,1
10,3,0
10,3,0
10,3,0
10,3,1
10,3,0
10,3,0
10,4,0
10,3,0
10,3,0
10,4,2
10,4,0
10,3,1
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,3,0
10,5,0
10,4,0
10,3,0
10,3,0
10,4,0
10,3,0
10,3,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,4,0
10,3,0
10,3,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,1
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,5,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,5,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,3,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,3,0
10,4,0
10,3,0
10,3,0
10,4,1
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,5,0
10,3,0
10,4,0
10,3,0
10,3,0
10,4,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,5,1
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,1
10,4,0
10,4,0
10,3,0
10,4,0
10,3,0
10,5,0
10,5,0
10,4,0
10,4,2
10,3,0
10,3,0
10,3,0
10,4,0
10,4,1
10,5,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,0
10,5,0
10,5,0
10,4,0
10,4,0
10,4,1
10,3,0
10,5,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,3,0
10,5,0
10,4,0
10,3,0
10,4,0
10,5,0
10,4,0
10,4,0
10,4,0
10,4,0
10,4,1
10,3,0
10,3,0
10,3,0
10,5,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,3,0
10,5,0
10,3,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,1
10,4,0
10,3,0
10,4,1
10,5,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,4,1
10,4,0
10,4,0
10,4,0
10,5,0
10,5,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,5,0
10,5,0
10,3,0
10,3,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,4,0
10,5,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,3,0
10,5,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,3,0
10,4,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,4,0
10,4,0
10,4,0
10,3,0
10,3,0
10,4,0
10,3,0
10,3,0
10,4,1
10,4,0
10,4,0
10,4,0
10,4,0
10,3,0
10,5,0
10,5,0
